bookingRef,surname,placementDateTime,vehicleType,luggageCount,bookingDateTime,cost,isCancelled
BR001,Smith,2026-05-10T12:00,Executive,2,2026-05-17T18:00,45.00,true
BR002,Johnson,2026-05-09T12:10,Standard,1,2026-05-09T18:10,25.00,false
BR003,Williams,2026-05-09T23:00,Minivan,5,2026-05-10T09:00,60.00,false
BR004,Brown,2026-05-10T22:00,Executive,3,2026-05-11T10:20,50.00,false
BR005,Jones,2026-05-11T02:30,Standard,0,2026-05-11T11:00,20.00,false
BR006,Davis,2026-05-12T06:00,Minivan,4,2026-05-12T12:45,55.00,false
BR007,Miller,2026-05-12T08:10,Executive,1,2026-05-12T15:10,48.00,false
BR008,Wilson,2026-05-12T23:30,Standard,2,2026-05-13T09:30,30.00,false
BR009,Moore,2026-05-13T02:00,Minivan,6,2026-05-13T10:00,65.00,false
BR010,Taylor,2026-05-13T07:00,Executive,2,2026-05-13T14:00,52.00,false
BR011,Anderson,2026-05-13T22:20,Standard,1,2026-05-14T08:20,28.00,false
BR012,Thomas,2026-05-14T10:00,Minivan,3,2026-05-14T17:00,58.00,false
BR013,Jackson,2026-05-14T02:10,Executive,2,2026-05-15T09:10,46.00,false
BR014,White,2026-05-15T12:45,Standard,0,2026-05-15T18:45,22.00,false
BR015,Harris,2026-05-15T22:30,Minivan,5,2026-05-16T07:30,62.00,false
BR016,Martin,2026-05-16T05:10,Executive,3,2026-05-16T12:10,53.00,false
BR017,Thompson,2026-05-16T22:00,Standard,2,2026-05-17T10:00,31.00,false
BR018,Garcia,2026-05-17T12:00,Minivan,4,2026-05-17T19:00,57.00,false
BR019,Martinez,2026-05-17T02:15,Executive,1,2026-05-18T08:15,44.00,false
BR020,Robinson,2026-05-18T07:40,Standard,2,2026-05-18T13:40,29.00,false
